team_code,season,team_name,league,total_players,avg_rating,file,is_conflict,is_problem,problem_type,leagues_for_code
VHK,2021-2022,Viborg HK,Kvindeliga,16,1330.2,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
VHK,2022-2023,Viborg HK,Kvindeliga,18,1314.4,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
VHK,2023-2024,Viborg HK,Kvindeliga,17,1331.9,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
VHK,2024-2025,Viborg HK,Kvindeliga,18,1319.4,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
KBH,2017-2018,København Håndbold,Kvindeliga,16,1216.9,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
KBH,2018-2019,København Håndbold,Kvindeliga,20,1257.1,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
KBH,2019-2020,København Håndbold,Kvindeliga,18,1267.2,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
KBH,2020-2021,København Håndbold,Kvindeliga,21,1278.0,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
KBH,2021-2022,København Håndbold,Kvindeliga,16,1316.5,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
KBH,2022-2023,København Håndbold,Kvindeliga,17,1306.5,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
KBH,2023-2024,København Håndbold,Kvindeliga,17,1321.0,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
KBH,2024-2025,København Håndbold,Kvindeliga,18,1340.1,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
NFH,2017-2018,Nykøbing F. Håndbold,Kvindeliga,11,1213.3,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
NFH,2018-2019,Nykøbing F. Håndbold,Kvindeliga,16,1266.8,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
NFH,2019-2020,Nykøbing F. Håndbold,Kvindeliga,18,1288.4,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
NFH,2020-2021,Nykøbing F. Håndbold,Kvindeliga,19,1302.2,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
NFH,2021-2022,Nykøbing F. Håndbold,Kvindeliga,24,1281.8,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
NFH,2022-2023,Nykøbing F. Håndbold,Kvindeliga,17,1334.9,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
NFH,2023-2024,Nykøbing F. Håndbold,Kvindeliga,16,1365.9,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
