player,master_elo,elite_status,primary_position,position_name,is_goalkeeper,position_games,total_actions,momentum_factor,saves,penalty_saves,goals_against,save_percentage
Jeppe GADE,1541.4,NORMAL,PL,Playmaker,False,204,453,1.008,0,0,0,0.0
Aleks VLAH,1541.3,NORMAL,HF,Højre fløj,False,359,554,1.005,0,0,0,0.0
Josip CAVAR,1541.1,NORMAL,MV,Målvogter,False,410,410,1.007,0,0,0,0.0
Hjalte LYKKE,1539.0,NORMAL,HF,Højre fløj,False,318,419,1.002,0,0,0,0.0
Mikkel LØVKVIST,1539.0,NORMAL,MV,Målvogter,False,321,321,1.014,0,0,0,0.0
Mads PETER-LØNBORG,1538.3,NORMAL,HF,Højre fløj,False,365,510,1.004,0,0,0,0.0
Lukas NILSSON,1537.7,NORMAL,HF,Højre fløj,False,249,492,1.002,0,0,0,0.0
Nikolaj NIELSEN,1535.5,NORMAL,HF,Højre fløj,False,311,606,1.004,0,0,0,0.0
Oliver WOSNIAK,1532.3,NORMAL,HF,Højre fløj,False,182,559,1.002,0,0,0,0.0
Emil GRØNBECH,1532.1,NORMAL,HF,Højre fløj,False,282,528,1.004,0,0,0,0.0
Elvar Örn JÓNSSON,1529.0,NORMAL,HF,Højre fløj,False,202,497,1.008,0,0,0,0.0
Olafur GUSTAFSSON,1527.2,NORMAL,MV,Målvogter,False,195,411,1.0,0,0,0,0.0
Jac KARLSSON,1526.4,NORMAL,HF,Højre fløj,False,212,412,1.004,0,0,0,0.0
Ágúst Eli BJÖRGVINSSON,1525.7,NORMAL,MV,Målvogter,False,296,296,1.013,0,0,0,0.0
Simen PETTERSEN,1525.5,NORMAL,HF,Højre fløj,False,259,578,1.002,0,0,0,0.0
Akutaaneq KREUTZMANN,1524.9,NORMAL,HF,Højre fløj,False,213,481,1.005,0,0,0,0.0
Kevin GULLIKSEN,1524.3,NORMAL,HF,Højre fløj,False,389,403,1.003,0,0,0,0.0
Jesper NØDDESBO,1521.9,NORMAL,HF,Højre fløj,False,259,533,1.007,0,0,0,0.0
Mads Øris NIELSEN,1520.1,NORMAL,PL,Playmaker,False,156,468,1.005,0,0,0,0.0
Markus OLSSON,1519.7,NORMAL,HF,Højre fløj,False,135,391,1.012,0,0,0,0.0
Morten NYBERG,1519.1,NORMAL,HF,Højre fløj,False,218,519,1.012,0,0,0,0.0
Nicolai COLUNGA,1518.6,NORMAL,HF,Højre fløj,False,430,547,1.005,0,0,0,0.0
Mads CHRISTIANSEN,1518.2,NORMAL,HF,Højre fløj,False,271,477,1.004,0,0,0,0.0
Jacob HESSELLUND,1515.2,NORMAL,HF,Højre fløj,False,242,428,1.004,0,0,0,0.0
Rasmus Meyer EJLERSEN,1511.5,NORMAL,HF,Højre fløj,False,314,577,1.008,0,0,0,0.0
Sebastian AUGUSTINUSSEN,1511.2,NORMAL,HF,Højre fløj,False,487,517,1.007,0,0,0,0.0
Michael KNUDSEN,1510.9,NORMAL,ST,Streg,False,297,538,1.003,0,0,0,0.0
Johan SJÖSTRAND,1510.1,NORMAL,MV,Målvogter,False,272,272,1.008,0,0,0,0.0
Anton BRAMMING,1509.9,NORMAL,HF,Højre fløj,False,209,365,1.004,0,0,0,0.0
Mike HAACK,1508.8,NORMAL,HF,Højre fløj,False,377,412,1.004,0,0,0,0.0
Viktor NEVERS,1502.0,NORMAL,HF,Højre fløj,False,368,382,1.009,0,0,0,0.0
Emil JESSEN,1496.1,NORMAL,HF,Højre fløj,False,197,470,1.003,0,0,0,0.0
Alexander MORSTEN,1492.3,NORMAL,HF,Højre fløj,False,370,680,1.003,0,0,0,0.0
Emil Wernsdorf MADSEN,1490.7,NORMAL,HF,Højre fløj,False,257,440,1.003,0,0,0,0.0
Gunnar STEINN JÓNSSON,1489.0,NORMAL,HF,Højre fløj,False,269,486,1.006,0,0,0,0.0
Oscar BERGENDAHL,1488.8,NORMAL,HF,Højre fløj,False,312,575,1.004,0,0,0,0.0
Victor NORLYK,1488.0,NORMAL,HF,Højre fløj,False,267,449,1.005,0,0,0,0.0
Mikkel LANG,1487.5,NORMAL,HF,Højre fløj,False,357,366,1.006,0,0,0,0.0
