match,time,action,position,team,home_score,away_score,base_weight,time_mult,score_mult,pos_mult,context_mult,total_weight,elite_status,elite_multiplier,rating_change,old_rating,new_rating,goalkeeper_penalty,player_name,season,league,action_type
Mors-Thy Håndbold vs SAH,53.20,Skud reddet,PL,SAH,26,26,70,1.4,1.7,1.0,1.5000000000000002,249.90000000000003,NORMAL,1.0,1.9992000000000003,1518.6025210000016,1520.6017210000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,54.41,Mål,PL,SAH,27,27,65,1.4,1.7,1.0,1.7000000000000002,262.99,NORMAL,1.0,2.10392,1520.6017210000016,1522.7056410000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,59.34,Skud reddet,PL,SAH,29,29,70,1.8,1.7,1.0,1.8000000000000003,385.56000000000006,NORMAL,1.0,3.0844800000000006,1522.7056410000016,1525.7901210000016,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Mors-Thy Håndbold vs SAH,6.04,Skud reddet,PL,SAH,3,4,70,1.0,1.5,1.0,1.225,128.625,NORMAL,1.0,1.029,1506.8376110000017,1507.8666110000017,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,19.48,Mål,PL,SAH,7,8,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1309.664131600001,1310.619631600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,2.57,Mål,PL,SAH,0,3,65,1.0,1.2,1.0,1.075,83.85,NORMAL,1.0,0.6708,1308.9933316000008,1309.664131600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,23.51,Skud blokeret,PL,SAH,9,10,-8,1.0,1.5,1.0,1.215,-14.580000000000002,NORMAL,1.0,-0.11664000000000002,1310.619631600001,1310.502991600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
Nordsjælland Håndbold vs SAH,24.44,Mål på straffe,PL,SAH,9,11,60,1.0,1.5,1.0,1.1500000000000001,103.50000000000001,NORMAL,1.0,0.8280000000000002,1310.502991600001,1311.330991600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,26.07,Skud reddet,PL,SAH,9,11,70,1.4,1.5,1.0,1.2500000000000002,183.75000000000003,NORMAL,1.0,1.4700000000000002,1311.330991600001,1312.800991600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,31.44,Mål på straffe,PL,SAH,13,14,60,1.0,1.5,1.0,1.225,110.25000000000001,NORMAL,1.0,0.8820000000000001,1312.800991600001,1313.682991600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,34.35,Skud reddet,PL,SAH,14,14,70,1.0,1.7,1.0,1.3000000000000003,154.70000000000005,NORMAL,1.0,1.2376000000000005,1313.682991600001,1314.920591600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,36.43,Mål,VB,SAH,16,15,65,1.0,1.5,1.0,1.6000000000000003,156.00000000000003,NORMAL,1.0,1.2480000000000002,1314.920591600001,1316.168591600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,39.13,Mål,VB,SAH,17,17,65,1.0,1.7,1.0,1.5000000000000002,165.75000000000003,NORMAL,1.0,1.3260000000000003,1316.168591600001,1317.494591600001,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,43.54,Mål,PL,SAH,18,18,65,1.2,1.7,1.0,1.5500000000000003,205.53000000000003,NORMAL,1.0,1.6442400000000004,1317.494591600001,1319.1388316000011,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,51.08,Skud reddet,PL,SAH,20,22,70,1.4,1.5,1.0,1.3500000000000003,198.45000000000005,NORMAL,1.0,1.5876000000000003,1319.1388316000011,1320.7264316000012,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,52.39,Mål,VB,SAH,21,23,65,1.4,1.5,1.0,1.3500000000000003,184.27500000000003,NORMAL,1.0,1.4742000000000004,1320.7264316000012,1322.2006316000013,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH,53.51,Mål,PL,SAH,21,24,65,1.4,1.2,1.0,1.2750000000000001,139.23000000000002,NORMAL,1.0,1.1138400000000002,1322.2006316000013,1323.3144716000013,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,0.52,Mål,PL,SAH,0,1,65,1.0,1.5,1.0,1.225,119.43750000000001,NORMAL,1.0,0.9555000000000001,1254.6445908000003,1255.6000908000003,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,1.38,Skud på stolpe,PL,SAH,1,1,-5,1.0,1.7,1.0,1.2900000000000003,-10.965000000000002,NORMAL,1.0,-0.08772000000000002,1255.6000908000003,1255.5123708000003,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEUTRAL
Nordsjælland Håndbold vs SAH – Skanderborg AGF,15.34,Tilkendt straffe,PL,SAH,7,6,25,1.0,1.5,1.0,1.225,45.9375,NORMAL,1.0,0.3675,1256.7603708000004,1257.1278708000004,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,16.47,Mål på straffe,PL,SAH,8,7,60,1.0,1.5,1.0,1.6000000000000003,144.00000000000003,NORMAL,1.0,1.1520000000000004,1257.1278708000004,1258.2798708000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,18.35,Mål,HF,SAH,8,8,65,1.0,1.7,1.0,1.5000000000000002,165.75000000000003,NORMAL,1.0,1.3260000000000003,1258.2798708000005,1259.6058708000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,21.42,Skud reddet,PL,SAH,9,9,70,1.0,1.7,1.0,1.3000000000000003,154.70000000000005,NORMAL,1.0,1.2376000000000005,1259.6058708000005,1260.8434708000004,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,26.07,Skud forbi,PL,SAH,10,10,-15,1.4,1.7,1.0,1.4200000000000002,-50.694,NORMAL,1.0,-0.405552,1260.8434708000004,1260.4379188000005,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,NEGATIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,32.12,Skud reddet,PL,SAH,14,12,70,1.0,1.5,1.0,1.1500000000000001,120.75000000000001,NORMAL,1.0,0.9660000000000001,1260.4379188000005,1261.4039188000004,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
Nordsjælland Håndbold vs SAH – Skanderborg AGF,34.07,Mål,ST,SAH,15,13,65,1.0,1.5,1.0,1.2500000000000002,121.87500000000003,NORMAL,1.0,0.9750000000000002,1261.4039188000004,1262.3789188000003,False,MORTEN HEMPEL JENSEN,2023-2024,Herreliga,POSITIVE
