Player,FinalRating
NSH_4_Lars SKAARUP,1510.00
KIF_17_Assar KAMMENHED,1510.00
KIF_14_Rasmus MADSBØLL,1510.00
SJE_7_Jakob VILLEMOES,1510.00
TTH_93_Anders MARTINUSEN,1510.00
FHK_25_Jonas PORUP,1510.00
TTH_91_Kasper PALMAR,1510.00
SKH_25_Anders AGGER,1510.00
SAH_11_Rasmus LAUGE,1510.00
TTH_15_Henrik Toft HANSEN,1510.00
TTH_33_Kasper DIDRIKSEN,1510.00
MTH_23_Miha ZVIZEJ,1510.00
GIF_3_Nicolai PEDERSEN,1510.00
GIF_13_Andreas NIELSEN,1510.00
GOG_17_Kristian Krag ØRSTED,1510.00
TMS_3_Lukas NILSSON,1510.00
TMS_14_Mads HOXER,1510.00
AAH_9_Rasmus WINTHER,1510.00
FHK_25_Eivind TANGEN,1510.00
GOG_28_Morten KAALUND,1510.00
KIF_17_Oliver WOSNIAK,1510.00
KIF_44_Tobias TOMBAK,1510.00
TMS_15_Jens SVANE,1510.00
KIF_27_Victor WOLF,1510.00
BSH_21_Mathias SMED,1510.00
BSH_6_Frederik BJERRE,1510.00
NSH_7_Jakob VILLEMOES,1510.00
MTH_19_Bjarke CHRISTENSEN,1510.00
FHK_4_Patrick WIESMACH,1510.00
TMS_29_Magnus FREDRIKSEN,1510.00
SJE_81_Tobias NIELSEN,1510.00
SJE_7_Christoffer DREYER,1510.00
TMS_23_Tobias OLSEN,1510.00
SJE_17_Oliver WOSNIAK,1510.00
TMS_11_Nicolaj JØRGENSEN,1510.00
NSH_14_Nicolaj SPANGGAARD,1510.00
REH_13_Gustav BRUUN,1510.00
NSH_81_Alfred JÖNSSON,1510.00
GIF_3_Kristjan ÖRN KRISTJANSSON,1510.00
TTH_66_Anton LINDSKOG,1510.00
FHK_5_Oliver NORLYK,1510.00
FHK_22_Frederik BAY,1510.00
FHK_28_Lauritz LEGÉR,1510.00
AAH_28_Rasmus MADSEN,1510.00
AAH_21_Marcus MIDTGAARD,1510.00
MTH_22_Rene ANTONSEN,1510.00
AAH_11_Lasse PEDERSEN,1510.00
AAH_19_Victor NORLYK,1510.00
GOG_14_Emil BERGHOLT,1510.00
BSH_21_Henrik MØLLGAARD,1510.00
BSH_18_Aleks VLAH,1510.00
KIF_4_Kasper LINDGREN,1510.00
REH_11_Kristoffer JESSEN,1510.00
SAH_21_Mathias SMED,1510.00
FHK_14_Jacob BAGERSTED,1510.00
FHK_29_Magnus FREDRIKSEN,1510.00
SKH_3_Kristjan ÖRN KRISTJANSSON,1510.00
SAH_14_Emil BERGHOLT,1510.00
SKH_15_Emil LÆRKE,1510.00
SAH_13_Noah GAUDIN,1510.00
MTH_5_Julius MØRCH,1510.00
NSH_10_Mads Svane KNUDSEN,1510.00
GOG_13_Mathias HEDEGAARD,1510.00
KIF_15_Tobias GRØNDAHL,1510.00
KIF_71_Alexander BLONZ,1510.00
GOG_2_Mads KRAGH THOMSEN,1510.00
TTH_7_Senjamin BURIC,1510.00
SKH_11_Thomas DAMGAARD,1510.00
SKH_18_Edwin ASPENBÄCK,1510.00
TMS_20_Frederik IVERSEN,1510.00
GIF_19_Benjamin HALLGREN,1510.00
GIF_7_Christoffer DREYER,1510.00
GIF_44_Tobias TOMBAK,1510.00
GIF_16_Andreas HAAGEN,1510.00
GIF_17_Oliver WOSNIAK,1510.00
GIF_81_Tobias NIELSEN,1510.00
AAH_15_Emil LÆRKE,1510.00
AAH_5_Frederik ARNOLDSEN,1510.00
AAH_11_Mikkel LANG,1510.00
SAH_21_Henrik MØLLGAARD,1510.00
FHK_11_Mathias JØRGENSEN,1510.00
FHK_92_Sune IVERSEN,1510.00
KIF_15_Emil LÆRKE,1510.00
NSH_23_Mads LENBROCH,1510.00
NSH_11_Rasmus LAUGE,1510.00
NSH_4_Patrick BOLDSEN,1510.00
SJE_37_Linus PERSSON,1510.00
SJE_71_Alexander BLONZ,1510.00
GOG_11_Nicolaj JØRGENSEN,1510.00
GOG_18_Morten BJØRNSHAUGE,1510.00
SJE_13_Andreas NIELSEN,1510.00
REH_33_Kasper DIDRIKSEN,1510.00
REH_28_Rasmus MADSEN,1510.00
MTH_17_Andreas SØGAARD,1510.00
TTH_20_Felix MÖLLER,1510.00
TTH_23_Buster JUUL,1510.00
TMS_15_Mads KJELDGAARD,1510.00
TMS_20_Fredrik MOSSESTAD,1510.00
SKH_23_Bjarke NYBO,1510.00
TTH_22_Frederik BAY,1510.00
GOG_3_Carl-Emil HAUNSTRUP,1510.00
NSH_66_Anton LINDSKOG,1510.00
REH_19_René Toft HANSEN,1510.00
REH_11_Rasmus LAUGE,1510.00
SAH_24_Sebastian AUGUSTINUSSEN,1510.00
SAH_33_Ebbe STANKIEWICZ,1510.00
MTH_16_Andreas HAAGEN,1510.00
TMS_36_Silas OVERBY,1510.00
TMS_21_Marcus MIDTGAARD,1510.00
TMS_17_Malthe BULL,1510.00
MTH_27_Victor WOLF,1510.00
TMS_10_Mads Svane KNUDSEN,1510.00
AAH_10_Joaquim NAZARÉ,1510.00
SKH_20_Felix MÖLLER,1510.00
SKH_17_Martin LARSEN,1510.00
GIF_13_Lasse BALSTAD,1510.00
FHK_8_Rolf RAVN,1510.00
GIF_20_Fredrik MOSSESTAD,1510.00
GIF_7_Kasper YOUNG,1510.00
FHK_4_Frederik NIELSEN,1510.00
FHK_9_Nicklas Bjørn VASSVIK,1510.00
KIF_21_René RASMUSSEN,1510.00
KIF_5_Viktor BERGHOLT,1510.00
TTH_28_Patrick VOLZ,1510.00
TTH_29_Magnus FREDRIKSEN,1510.00
REH_66_Anton LINDSKOG,1510.00
REH_71_Alexander BLONZ,1510.00
REH_9_Henrik JAKOBSEN,1510.00
GOG_31_Morten JØRGENSEN,1510.00
SAH_57_Nikolaj LARSSON,1510.00
NSH_19_Thor CHRISTENSEN,1510.00
NSH_3_Kristjan ÖRN KRISTJANSSON,1510.00
NSH_5_Frederik ARNOLDSEN,1510.00
GIF_21_Henrik MØLLGAARD,1510.00
FHK_21_Marcus MIDTGAARD,1510.00
MTH_13_Lasse BALSTAD,1510.00
MTH_23_Einar ÓLAFSSON,1510.00
KIF_4_Patrick BOLDSEN,1510.00
KIF_11_Rasmus LAUGE,1510.00
KIF_32_Nikolaj LÆSØ,1510.00
BSH_18_Benjamin PEDERSEN,1510.00
BSH_24_Simon OOMS,1510.00
TMS_22_Anders ZACHARIASSEN,1510.00
FHK_19_Thomas BOILESEN,1510.00
NSH_20_Fredrik MOSSESTAD,1510.00
FHK_11_Jonas RAUNDAHL,1510.00
AAH_15_Tobias GRØNDAHL,1510.00
GOG_25_Marinus MUNK,1510.00
MTH_28_Patrick VOLZ,1510.00
MTH_18_Morten BJØRNSHAUGE,1510.00
SJE_17_Malthe BULL,1510.00
MTH_33_Ebbe STANKIEWICZ,1510.00
MTH_11_Nicolaj JØRGENSEN,1510.00
MTH_29_Magnus FREDRIKSEN,1510.00
MTH_23_Tobias OLSEN,1510.00
REH_17_Oliver WOSNIAK,1510.00
REH_81_Tobias NIELSEN,1510.00
REH_24_Simon OOMS,1510.00
TMS_14_Nicolaj SPANGGAARD,1510.00
REH_22_Axel ANDERSSON,1510.00
TMS_27_Andre Sindre AHO,1510.00
TMS_6_Jonathan WÜRTZ,1510.00
SKH_18_Morten BJØRNSHAUGE,1510.00
GIF_25_Magnus NORLYK,1510.00
GIF_15_Henrik Toft HANSEN,1510.00
GIF_4_Kasper LINDGREN,1510.00
GIF_21_Marcus MIDTGAARD,1510.00
GIF_11_Lasse PEDERSEN,1510.00
GIF_17_Malthe BULL,1510.00
REH_23_Morten Hempel JENSEN,1510.00
REH_19_Thor CHRISTENSEN,1510.00
SAH_11_Mathias JØRGENSEN,1510.00
FHK_19_René Toft HANSEN,1510.00
BSH_93_Anders MARTINUSEN,1510.00
BSH_23_Einar ÓLAFSSON,1510.00
AAH_22_Frederik BAY,1510.00
KIF_19_Kristian BJØRNSEN,1510.00
KIF_1_Niklas LANDIN,1510.00
GOG_81_Tobias NIELSEN,1510.00
TMS_9_Henrik JAKOBSEN,1510.00
TMS_64_Salah BOUTAF,1510.00
NSH_23_Miha ZVIZEJ,1510.00
KIF_8_Rolf RAVN,1510.00
KIF_20_Frederik IVERSEN,1510.00
GIF_2_Mads KRAGH THOMSEN,1510.00
GIF_6_Jonas TIDEMAND,1510.00
KIF_3_Thomas THEILGAARD,1510.00
TMS_6_Kristian BONEFELD,1510.00
SAH_27_Victor WOLF,1510.00
SAH_44_Tobias TOMBAK,1510.00
SAH_2_Joachim MØLLER,1510.00
SAH_24_Simon OOMS,1510.00
BSH_23_Henrik TILSTED,1510.00
MTH_19_René Toft HANSEN,1510.00
AAH_20_August WIGER,1510.00
AAH_18_Morten BJØRNSHAUGE,1510.00
AAH_28_Patrick VOLZ,1510.00
SJE_6_Sebastian BARTHOLD,1510.00
FHK_66_Anton LINDSKOG,1510.00
FHK_71_Alexander BLONZ,1510.00
FHK_13_Andreas NIELSEN,1510.00
GOG_23_Einar ÓLAFSSON,1510.00
SKH_21_Tim RANTALA,1510.00
NSH_7_Senjamin BURIC,1510.00
REH_18_Edwin ASPENBÄCK,1510.00
SJE_13_Mathias HEDEGAARD,1510.00
KIF_14_Jacob BAGERSTED,1510.00
SJE_29_Viktor NEVERS,1510.00
SJE_4_Lars SKAARUP,1510.00
SKH_17_Andreas SØGAARD,1510.00
GOG_4_Kasper LINDGREN,1510.00
MTH_3_Nicolai PEDERSEN,1510.00
MTH_7_Lasse VILHELMSEN,1510.00
GOG_25_Magnus NORLYK,1510.00
SAH_93_Anders MARTINUSEN,1510.00
SAH_15_Mads KJELDGAARD,1510.00
SAH_23_Einar ÓLAFSSON,1510.00
NSH_7_Thomas ARNOLDSEN,1510.00
AAH_21_Tim RANTALA,1510.00
AAH_5_Julius MØRCH,1510.00
AAH_13_Gustav BRUUN,1510.00
NSH_6_Sebastian BARTHOLD,1510.00
NSH_3_Lukas NILSSON,1510.00
GOG_4_Patrick BOLDSEN,1510.00
BSH_3_Nicolai PEDERSEN,1510.00
TMS_16_Sander HEIEREN,1510.00
