player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
NICOLAI NYGAARD,REH,Ribe-Esbjerg HH,1416.9,22,HF,False,LEGENDARY,187.1
JONAS GADE NIELSEN,MTH,Mors-Thy Håndbold,1414.4,25,HF,False,LEGENDARY,109.8
OLIVER NØDDESBO EGGERT,SJH,SønderjyskE Herrehåndbold,1408.2,25,HF,False,LEGENDARY,107.3
MIHA ZVIZEJ,REH,Ribe-Esbjerg HH,1405.3000000000002,27,ST,False,LEGENDARY,137.9
BJARTE MYRHOL,SKH,Skjern Håndbold,1394.6999999999998,18,ST,False,ELITE,81.1
JAKOB MIKKELSEN,FHK,Fredericia Håndbold Klub,1391.2,27,HF,False,ELITE,198.8
RASMUS PORUP,LTH,Lemvig-Thyborøn Håndbold,1387.3,21,HF,False,ELITE,133.2
ANDREAS VÆVER,KIF,KIF Kolding,1385.0,30,HF,False,ELITE,148.5
ANDREAS HOLST JENSEN,AAH,Aalborg Håndbold,1357.9,18,VB,False,ELITE,63.9
KAY SMITS,TTH,TTH Holstebro,1355.9,34,HF,False,ELITE,340.9
LASSE UTH,REH,Ribe-Esbjerg HH,1354.1,22,HF,False,ELITE,63.4
MORTEN HEMPEL JENSEN,TMH,TMS Ringsted,1352.5,24,HF,False,ELITE,258.4
BUSTER JUUL,AAH,Aalborg Håndbold,1352.1,26,HF,False,ELITE,159.0
EMIL LÆRKE,GOG,GOG,1345.3,16,HF,False,ELITE,105.1
MADS HOXER HANGAARD,MTH,Mors-Thy Håndbold,1341.6,22,HF,False,ELITE,206.3
CHRISTOFFER CICHOSZ,TTH,TTH Holstebro,1332.6,27,ST,False,ELITE,102.1
LASSE PEDERSEN,MTH,Mors-Thy Håndbold,1330.9,19,HF,False,ELITE,92.8
FREDERIK TILSTED,MTH,Mors-Thy Håndbold,1325.5,17,HF,False,ELITE,130.0
JØRGEN RASMUSSEN,SKH,Skjern Håndbold,1325.0,25,HF,False,ELITE,84.1
MARTIN BISGAARD,FHK,Fredericia Håndbold Klub,1320.7,26,HF,False,ELITE,171.7
EMIL BERGHOLT,MTH,Mors-Thy Håndbold,1316.8000000000002,22,HF,False,ELITE,113.4
OLIVER NØDDESBO EGGERT,SJH,SønderjyskE Herrehåndbold,1305.5,1,HF,False,NORMAL,-0.4
KASPER KVIST,REH,Ribe-Esbjerg HH,1303.1999999999998,21,HF,False,ELITE,75.1
FREDERIK LADEFOGED,SJH,SønderjyskE Herrehåndbold,1302.4,30,HF,False,ELITE,75.0
ALLAN DAMGAARD,TTH,TTH Holstebro,1300.0,29,HF,False,ELITE,167.9
NICOLAJ NØRAGER,FHK,Fredericia Håndbold Klub,1298.0,27,HF,False,ELITE,283.0
JESPER NØDDESBO,BSH,Bjerringbro-Silkeborg,1296.7,28,HF,False,ELITE,64.4
ELVAR ÖRN JÓNSSON,SKH,Skjern Håndbold,1288.0,30,HF,False,ELITE,163.5
KRISTIAN STOKLUND,FHK,Fredericia Håndbold Klub,1282.1,17,HF,False,ELITE,267.1
AUGUST BASKÅR PEDERSEN,BSH,Bjerringbro-Silkeborg,1276.7,29,VF,False,ELITE,125.5
MADS ØRIS NIELSEN,BSH,Bjerringbro-Silkeborg,1274.1,30,HF,False,ELITE,77.2
JONATHAN STENBÄCKEN,SKH,Skjern Håndbold,1264.6,29,HF,False,ELITE,64.5
ALEXANDER MORSTEN,KIF,KIF Kolding,1263.2,30,HF,False,ELITE,87.2
BESARD HAKAJ,REH,Ribe-Esbjerg HH,1262.7,20,HF,False,ELITE,28.5
