player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
STINE NØRKLIT LØNBORG,AJK,Ajax København,1440.8,29,HF,False,LEGENDARY,172.8
JULIE JENSEN,SVK,Silkeborg-Voel KFUM,1439.4,24,HF,False,LEGENDARY,139.2
VILDE MORTENSEN INGSTAD,TES,Team Esbjerg,1437.3,26,ST,False,LEGENDARY,116.0
ANDREA WEST BENDTSEN,HOL,Holstebro Håndbold,1427.7,24,HF,False,LEGENDARY,129.5
LINE ELLERTSEN,AAU,Aarhus United,1417.3,30,HF,False,LEGENDARY,176.1
JOHANNA WESTBERG,NFH,Nykøbing F. Håndbold,1414.7,12,HF,False,LEGENDARY,64.9
CELINE LUNDBYE KRISTIANSEN,NFH,Nykøbing F. Håndbold,1408.4,24,HF,False,LEGENDARY,114.1
ANNETTE JENSEN,TES,Team Esbjerg,1401.5,27,HF,False,LEGENDARY,132.3
LÆRKE NOLSØE,VHK,Viborg HK,1396.6999999999998,37,HF,False,ELITE,183.6
LÆRKE CHRISTENSEN,HOL,Holstebro Håndbold,1393.1,12,HF,False,ELITE,94.1
KAJA KAMP NIELSEN,TES,Team Esbjerg,1387.9,36,HF,False,ELITE,144.3
LINE BERGGREN LARSEN,AAU,Aarhus United,1382.1,19,HF,False,ELITE,35.8
MARIELLE MARTINSEN,AAU,Aarhus United,1377.9,28,HF,False,ELITE,205.0
LAURA DAMGAARD LUND,HHE,Horsens Håndbold Elite,1371.2,18,HF,False,ELITE,166.8
JULIE HOLM,RIN,Ringkøbing Håndbold,1369.7,31,HF,False,ELITE,222.2
LOUISE FØNS,KBH,København Håndbold,1369.4,29,HF,False,ELITE,103.3
STINE HOLM,AAU,Aarhus United,1365.5,26,HF,False,ELITE,66.3
KRISTIN THORLEIFSDÓTTIR,HHE,Horsens Håndbold Elite,1357.4,27,HF,False,ELITE,113.0
MARIA MOSE VESTERGAARD,HHE,Horsens Håndbold Elite,1354.8,29,HF,False,ELITE,132.5
SOFIE FLADER,NFH,Nykøbing F. Håndbold,1350.5,31,HF,False,ELITE,153.3
METTE TRANBORG,TES,Team Esbjerg,1349.4,1,HF,False,NORMAL,1.0
LEA HANSEN,SVK,Silkeborg-Voel KFUM,1348.0,27,HF,False,ELITE,99.3
JENNY HELEN CARLSON,HOL,Holstebro Håndbold,1346.3,12,HF,False,ELITE,101.6
EMILIE YTTING PEDERSEN,SKB,Skanderborg Håndbold,1334.9,17,HF,False,ELITE,91.0
ELMA HALILCEVIC,NFH,Nykøbing F. Håndbold,1326.1,32,HF,False,ELITE,205.9
NATASJA ANDREASEN,SVK,Silkeborg-Voel KFUM,1325.3,12,HF,False,ELITE,84.8
HENNY REISTAD,TES,Team Esbjerg,1322.9,30,HF,False,ELITE,307.9
CECILIE SPECHT,AJK,Ajax København,1319.2,30,HF,False,ELITE,125.7
JANE MEJLVANG,RIN,Ringkøbing Håndbold,1316.2,31,HF,False,ELITE,179.7
